name,has_nickname,is_nickname,popularity_freq
vince,False,True,1.26
uriah,True,False,1.25
theodora,True,False,1.23
mervin,True,True,1.23
patience,True,False,1.23
emmy,False,True,1.23
samson,True,False,1.22
justina,False,True,1.22
iona,True,False,1.22
shelton,True,False,1.21
ashly,False,True,1.21
abbigail,True,False,1.21
shaina,True,False,1.19
fallon,True,False,1.19
sol,False,True,1.18
millicent,True,False,1.17
maisie,False,True,1.16
alfreda,True,False,1.14
letitia,True,False,1.14
jules,False,True,1.12
lidia,True,False,1.12
mac,True,True,1.11
elouise,True,True,1.11
dani,False,True,1.1
domenic,True,False,1.1
claud,False,True,1.09
christiana,True,False,1.09
tory,False,True,1.09
shellie,False,True,1.09
robby,False,True,1.08
bernie,False,True,1.08
lettie,False,True,1.07
hezekiah,True,False,1.06
ambrose,True,False,1.05
lindy,True,True,1.05
mercy,False,True,1.05
delphine,True,False,1.04
lucretia,True,False,1.04
ford,False,True,1.04
judi,False,True,1.03
nan,False,True,1.03
vincenzo,True,False,1.03
chauncey,True,False,1.02
benedict,True,False,1.02
ally,False,True,1.02
liz,False,True,1.0
lyndon,True,False,1.0
